run,mode,group,cipher,handshake_ms,transfer_ms,hs_bytes_sent,hs_bytes_recv,hs_bytes_total,app_bytes_sent,app_bytes_recv
1,classical,x25519,TLS_AES_256_GCM_SHA384,0.520,0.106,297,757,1054,4096,18
2,classical,x25519,TLS_AES_256_GCM_SHA384,0.436,0.093,297,757,1054,4096,18
3,classical,x25519,TLS_AES_256_GCM_SHA384,0.412,0.073,297,758,1055,4096,18
4,classical,x25519,TLS_AES_256_GCM_SHA384,0.448,0.095,297,758,1055,4096,18
5,classical,x25519,TLS_AES_256_GCM_SHA384,0.708,0.158,297,757,1054,4096,18
6,classical,x25519,TLS_AES_256_GCM_SHA384,1.895,0.439,297,757,1054,4096,18
7,classical,x25519,TLS_AES_256_GCM_SHA384,2.601,0.275,297,757,1054,4096,18
8,classical,x25519,TLS_AES_256_GCM_SHA384,2.688,0.363,297,757,1054,4096,18
9,classical,x25519,TLS_AES_256_GCM_SHA384,2.217,1.545,297,757,1054,4096,18
10,classical,x25519,TLS_AES_256_GCM_SHA384,2.319,0.377,297,757,1054,4096,18
