run,mode,group,cipher,handshake_ms,transfer_ms,hs_bytes_sent,hs_bytes_recv,hs_bytes_total,app_bytes_sent,app_bytes_recv
1,hybrid,X25519MLKEM768,TLS_AES_256_GCM_SHA384,1.497,0.214,1473,1845,3318,4096,18
2,hybrid,X25519MLKEM768,TLS_AES_256_GCM_SHA384,2.849,0.355,1473,1845,3318,4096,18
3,hybrid,X25519MLKEM768,TLS_AES_256_GCM_SHA384,2.635,0.268,1473,1845,3318,4096,18
4,hybrid,X25519MLKEM768,TLS_AES_256_GCM_SHA384,1.761,0.214,1473,1845,3318,4096,18
5,hybrid,X25519MLKEM768,TLS_AES_256_GCM_SHA384,2.803,0.343,1473,1845,3318,4096,18
6,hybrid,X25519MLKEM768,TLS_AES_256_GCM_SHA384,2.788,0.319,1473,1845,3318,4096,18
7,hybrid,X25519MLKEM768,TLS_AES_256_GCM_SHA384,2.771,0.435,1473,1845,3318,4096,18
8,hybrid,X25519MLKEM768,TLS_AES_256_GCM_SHA384,2.931,0.423,1473,1846,3319,4096,18
9,hybrid,X25519MLKEM768,TLS_AES_256_GCM_SHA384,2.290,0.522,1473,1845,3318,4096,18
10,hybrid,X25519MLKEM768,TLS_AES_256_GCM_SHA384,3.159,0.265,1473,1844,3317,4096,18
